0.40 mA
0.40 mA
0.10 mA
0.40 mA
0.10 mA
0.10 mA
0.10 mA
0.50 mA
0.40 mA
0.50 mA
0.10 mA
0.30 mA
0.10 mA
0.40 mA
0.50 mA
0.40 mA
0.40 mA
0.40 mA
0.50 mA
0.30 mA
0.20 mA
0.30 mA
0.50 mA
0.40 mA
0.60 mA
0.40 mA
0.50 mA
0.30 mA
0.40 mA
0.30 mA
0.30 mA
0.20 mA
45.50 mA
49.40 mA
92.20 mA
89.20 mA
104.20 mA
110.10 mA
91.40 mA
91.00 mA
91.30 mA
92.00 mA
0.30 mA
0.30 mA
0.30 mA
0.30 mA
0.40 mA
0.30 mA
0.30 mA
0.20 mA
0.20 mA
0.50 mA
0.10 mA
0.10 mA
0.20 mA
0.40 mA
0.30 mA
0.50 mA
0.20 mA
0.40 mA
0.20 mA
0.20 mA
0.00 mA
0.50 mA
0.20 mA
0.40 mA
0.30 mA
0.50 mA
0.70 mA
0.40 mA
0.30 mA
0.00 mA
0.40 mA
0.20 mA
0.30 mA
0.00 mA
0.30 mA
0.10 mA
0.60 mA
0.20 mA
0.30 mA
0.30 mA
0.10 mA
0.30 mA
0.40 mA
0.10 mA
0.60 mA
0.40 mA
0.30 mA
0.40 mA
0.10 mA
0.00 mA
0.20 mA
0.30 mA
0.20 mA
0.20 mA
0.50 mA
0.20 mA
0.30 mA
0.30 mA
0.30 mA
0.20 mA
0.50 mA
0.20 mA
0.40 mA
0.40 mA
0.70 mA
0.40 mA
0.20 mA
0.20 mA
0.20 mA
0.40 mA
0.20 mA
0.00 mA
0.50 mA
0.30 mA
0.50 mA
